"employe_id","branch_id","salary","join_date","resign_date"
75,2626,12000000,2017-10-03,2019-12-28
76,2626,7000000,2016-08-22,
77,2630,11000000,2017-09-01,
78,2631,12000000,2018-10-08,
79,2630,5500000,2018-12-21,2019-09-21
80,2630,13500000,2018-10-01,
81,2630,8000000,2018-10-02,
82,2630,14500000,2019-01-14,2020-05-15
83,2625,11500000,2018-12-21,
84,2629,11000000,2017-10-02,
85,2629,12000000,2017-10-02,
86,2629,13000000,2019-04-01,
87,2629,6000000,2018-08-01,2019-10-21
88,2635,10500000,2018-09-10,
89,2635,6500000,2017-12-01,2020-11-20
90,2635,12500000,2019-08-05,2019-12-20
91,2634,10000000,2018-04-01,2020-05-20
92,2631,12000000,2018-11-05,
93,12722,7000000,2020-08-03,
94,2625,8500000,2018-08-06,
95,2625,12500000,2018-09-03,
96,2625,12500000,2019-04-11,
97,2633,12000000,2018-10-08,
98,2630,14500000,2018-11-06,
99,2629,9500000,2019-02-05,
100,2631,9000000,2019-04-26,
101,2626,10000000,2016-08-22,2020-12-03
102,2631,6000000,2018-11-12,
103,2633,9500000,2019-04-04,
104,2626,6500000,2019-04-12,
105,2631,7000000,2019-03-25,
9876,1,5000000,2019-09-02,
9895,1,7000000,2019-09-02,
9896,1,6000000,2019-09-09,
9897,1,10000000,2019-09-09,2020-02-20
