"timesheet_id","employee_id","date","checkin","checkout"
69717343,70,2020-12-17,"08:03:09",
69717437,174070,2020-12-17,"08:03:18",
69717975,64,2020-12-17,"08:04:15",
69718938,251119,2020-12-17,"09:06:19",
69719237,117041,2020-12-17,"08:07:00",
69720476,201506,2020-12-17,"08:10:04",
69751766,65,2020-12-17,"09:44:08",
69778825,32,2020-12-16,"07:44:00","17:00:00"
69779144,32,2020-11-27,"08:00:00","17:00:00"
69779152,213714,2020-11-23,"08:00:00","17:15:00"
69779167,213714,2020-11-24,"08:00:00","17:09:00"
69779223,213714,2020-11-25,"08:00:00","17:10:00"
69779307,213714,2020-11-26,"08:00:00","17:15:00"
69779407,213714,2020-11-27,"08:00:00","17:00:00"
69779765,213714,2020-11-30,"08:00:00","19:15:00"
69779776,213714,2020-12-01,"08:00:00","22:00:00"
69779783,213714,2020-12-02,"08:00:00","22:00:00"
69779806,213714,2020-12-03,"08:00:00","22:00:00"
69779854,213714,2020-12-04,"08:00:00","22:00:00"
69779856,213714,2020-12-07,"08:00:00","18:00:00"
69779857,213714,2020-12-08,"08:00:00","17:30:00"
69779859,213714,2020-12-09,"08:00:00","17:30:00"
69779862,213714,2020-12-10,"08:00:00","18:00:00"
69779864,213714,2020-12-11,"08:00:00","18:00:00"
69779868,213714,2020-12-14,"08:00:00","19:00:00"
69779870,213714,2020-12-15,"08:00:00","19:00:00"
69779877,32,2020-12-17,"07:56:00","17:00:00"
69808406,18,2020-12-17,"10:00:00","10:00:00"
69808407,51311,2020-12-17,"09:00:00","18:00:00"
69808500,66,2020-12-17,"08:44:00",
69808504,26612,2020-12-11,"09:00:00","18:00:00"
69808507,57649,2020-12-17,"08:00:00","17:00:00"
69808510,26612,2020-12-10,"09:00:00","18:00:00"
69808511,13,2020-12-16,"08:02:00","19:02:00"
69808514,15132,2020-12-16,"09:00:00","18:00:00"
69808530,26612,2020-12-14,"09:00:00","18:00:00"
69808595,26612,2020-12-15,"09:00:00","18:00:00"
69808658,208682,2020-12-15,"09:00:00","18:00:00"
69808730,208682,2020-12-16,"09:00:00","18:00:00"
69808885,329501,2020-12-16,"09:00:00","18:00:00"
69808954,51311,2020-12-16,"09:00:00","18:00:00"
69808979,28763,2020-12-16,"09:00:00","18:00:00"
69808980,27,2020-12-16,"09:00:00","18:00:00"
69808986,311335,2020-12-16,"09:00:00","18:00:00"
69809065,151407,2020-12-16,"09:00:00","18:00:00"
69874520,109100,2020-12-18,"07:12:10","19:13:23"
69889190,117041,2020-12-18,"07:52:47","17:13:37"
69891699,62,2020-12-18,"07:56:43","19:24:31"
69893812,69,2020-12-18,"07:59:57","19:13:44"
69893988,251119,2020-12-18,"09:00:12","18:09:36"
69894086,9908,2020-12-18,"08:00:19","17:14:10"
69894831,201506,2020-12-18,"08:01:23","17:09:45"
69896153,174070,2020-12-18,"08:03:55","17:24:30"
69896247,64,2020-12-18,"08:04:06","17:30:26"
69928576,65,2020-12-18,"09:44:29","18:30:37"
69929976,61,2020-12-18,"09:53:53","19:12:41"
69945373,32,2020-12-18,"08:00:00","17:00:00"
69968923,27,2020-12-18,"09:00:00","18:00:00"
69968925,23,2020-12-16,"08:59:00","18:05:00"
69968928,23,2020-12-11,"08:59:00","18:02:00"
69968930,23,2020-12-17,"08:59:00","18:06:00"
69968935,23,2020-12-15,"08:59:00","18:04:00"
69968969,23,2020-12-18,"09:00:00","18:07:00"
69969563,23,2020-12-01,"08:59:00","18:59:00"
69969811,23,2020-12-02,"08:59:00","18:59:00"
69969815,23,2020-12-03,"09:00:00","18:00:00"
69969816,23,2020-12-04,"09:00:00","18:00:00"
69969819,23,2020-12-07,"09:00:00","18:01:00"
69969821,23,2020-12-10,"09:00:00","18:02:00"
69969940,26622,2020-12-14,"08:00:00","17:00:00"
69969942,26622,2020-12-15,"08:00:00","17:00:00"
69969944,26622,2020-12-16,"08:00:00","17:00:00"
69969947,26622,2020-12-17,"08:00:00","17:00:00"
69969950,26622,2020-12-18,"08:00:00","17:00:00"
69970972,26,2020-12-18,"09:00:00","18:00:00"
69970978,151407,2020-12-17,"09:00:00","18:00:00"
69970980,151407,2020-12-18,"09:00:00","18:00:00"
69970982,18,2020-12-18,"10:00:00","19:00:00"
69971144,23,2020-12-14,"08:59:00","18:03:00"
69971145,9898,2020-12-18,"09:00:00","18:00:00"
69971188,311335,2020-12-18,"09:00:00","18:00:00"
69971192,66,2020-12-18,"08:19:00","18:00:00"
69971197,13,2020-12-17,"08:46:00","20:47:00"
69971198,9876,2020-12-17,"09:00:00","18:00:00"
69971203,325787,2020-12-17,"08:22:00","18:00:00"
69971205,124906,2020-12-17,"08:58:00","18:00:00"
69971208,173827,2020-12-17,"09:00:00","18:00:00"
69971213,151191,2020-12-17,"09:00:00","18:00:00"
69971220,311335,2020-12-17,"09:00:00","18:00:00"
69971221,27,2020-12-17,"09:00:00","18:00:00"
69971224,28,2020-12-17,"09:00:00","18:00:00"
69971227,13,2020-12-15,"08:46:00","21:46:00"
69971229,28754,2020-12-17,"09:00:00","18:00:00"
69971231,28763,2020-12-17,"09:00:00","18:00:00"
69971234,15142,2020-12-17,"09:00:00","18:00:00"
69971236,26,2020-12-17,"09:00:00","18:00:00"
69971238,15132,2020-12-17,"09:00:00","18:00:00"
69971243,325787,2020-12-16,"09:00:00","19:21:00"
69971281,23,2020-12-08,"08:59:00","18:01:00"
69972572,340184,2020-12-18,"08:00:00","16:00:00"
