"year","month","branch_id","salary_per_hour","ingesttime"
2019,8,1,237112,2023-06-24 01:55:17.222 +0700
2019,8,2,257130,2023-06-24 01:55:17.222 +0700
2019,8,3,,2023-06-24 01:55:17.222 +0700
2019,9,1,223552,2023-06-24 01:55:17.222 +0700
2019,9,2,169270,2023-06-24 01:55:17.222 +0700
2019,9,3,817044,2023-06-24 01:55:17.222 +0700
2019,9,2590,365601,2023-06-24 01:55:17.222 +0700
2019,9,2623,407511,2023-06-24 01:55:17.222 +0700
2019,9,2625,393764,2023-06-24 01:55:17.222 +0700
2019,9,2626,273768,2023-06-24 01:55:17.222 +0700
2019,9,2629,385374,2023-06-24 01:55:17.222 +0700
2019,9,2630,459328,2023-06-24 01:55:17.222 +0700
2019,9,2631,286619,2023-06-24 01:55:17.222 +0700
2019,9,2633,314757,2023-06-24 01:55:17.222 +0700
2019,9,2634,334467,2023-06-24 01:55:17.222 +0700
2019,9,2635,1318158,2023-06-24 01:55:17.222 +0700
2019,9,3092,165099,2023-06-24 01:55:17.222 +0700
2019,10,1,62552,2023-06-24 01:55:17.222 +0700
2019,10,2,76971,2023-06-24 01:55:17.222 +0700
2019,10,3,74721,2023-06-24 01:55:17.222 +0700
2019,10,2590,54004,2023-06-24 01:55:17.222 +0700
2019,10,2623,56620,2023-06-24 01:55:17.222 +0700
2019,10,2625,58443,2023-06-24 01:55:17.222 +0700
2019,10,2626,62754,2023-06-24 01:55:17.222 +0700
2019,10,2629,75844,2023-06-24 01:55:17.222 +0700
2019,10,2630,70786,2023-06-24 01:55:17.222 +0700
2019,10,2631,49864,2023-06-24 01:55:17.222 +0700
2019,10,2633,62067,2023-06-24 01:55:17.222 +0700
2019,10,2634,55291,2023-06-24 01:55:17.222 +0700
2019,10,2635,54671,2023-06-24 01:55:17.222 +0700
2019,10,3092,77834,2023-06-24 01:55:17.222 +0700
2019,11,1,60461,2023-06-24 01:55:17.222 +0700
2019,11,2,54734,2023-06-24 01:55:17.222 +0700
2019,11,3,89483,2023-06-24 01:55:17.222 +0700
2019,11,2590,59402,2023-06-24 01:55:17.222 +0700
2019,11,2623,59779,2023-06-24 01:55:17.222 +0700
2019,11,2625,65958,2023-06-24 01:55:17.222 +0700
2019,11,2626,56603,2023-06-24 01:55:17.222 +0700
2019,11,2629,62617,2023-06-24 01:55:17.222 +0700
2019,11,2630,76695,2023-06-24 01:55:17.222 +0700
2019,11,2631,51213,2023-06-24 01:55:17.222 +0700
2019,11,2633,65297,2023-06-24 01:55:17.222 +0700
2019,11,2634,59494,2023-06-24 01:55:17.222 +0700
2019,11,2635,57479,2023-06-24 01:55:17.222 +0700
2019,11,3092,58647,2023-06-24 01:55:17.222 +0700
2019,12,1,61884,2023-06-24 01:55:17.222 +0700
2019,12,2,71981,2023-06-24 01:55:17.222 +0700
2019,12,3,81076,2023-06-24 01:55:17.222 +0700
2019,12,2590,58601,2023-06-24 01:55:17.222 +0700
2019,12,2623,64361,2023-06-24 01:55:17.222 +0700
2019,12,2625,67678,2023-06-24 01:55:17.222 +0700
2019,12,2626,56681,2023-06-24 01:55:17.222 +0700
2019,12,2629,68041,2023-06-24 01:55:17.222 +0700
2019,12,2630,71071,2023-06-24 01:55:17.222 +0700
2019,12,2631,51163,2023-06-24 01:55:17.222 +0700
2019,12,2633,65543,2023-06-24 01:55:17.222 +0700
2019,12,2634,55031,2023-06-24 01:55:17.222 +0700
2019,12,2635,61503,2023-06-24 01:55:17.222 +0700
2019,12,3092,55081,2023-06-24 01:55:17.222 +0700
2020,1,1,53976,2023-06-24 01:55:17.222 +0700
2020,1,2,65876,2023-06-24 01:55:17.222 +0700
2020,1,3,77023,2023-06-24 01:55:17.222 +0700
2020,1,2590,55881,2023-06-24 01:55:17.222 +0700
2020,1,2623,59686,2023-06-24 01:55:17.222 +0700
2020,1,2625,62756,2023-06-24 01:55:17.222 +0700
2020,1,2626,44945,2023-06-24 01:55:17.222 +0700
2020,1,2629,55367,2023-06-24 01:55:17.222 +0700
2020,1,2630,64149,2023-06-24 01:55:17.222 +0700
2020,1,2631,47249,2023-06-24 01:55:17.222 +0700
2020,1,2633,62471,2023-06-24 01:55:17.222 +0700
2020,1,2634,45827,2023-06-24 01:55:17.222 +0700
2020,1,2635,43528,2023-06-24 01:55:17.222 +0700
2020,1,3092,50569,2023-06-24 01:55:17.222 +0700
2020,2,1,62832,2023-06-24 01:55:17.222 +0700
2020,2,2,63701,2023-06-24 01:55:17.222 +0700
2020,2,3,75419,2023-06-24 01:55:17.222 +0700
2020,2,2590,56568,2023-06-24 01:55:17.222 +0700
2020,2,2623,63776,2023-06-24 01:55:17.222 +0700
2020,2,2625,62909,2023-06-24 01:55:17.222 +0700
2020,2,2626,48351,2023-06-24 01:55:17.222 +0700
2020,2,2629,68193,2023-06-24 01:55:17.222 +0700
2020,2,2630,67402,2023-06-24 01:55:17.222 +0700
